"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_create_unique_user","tests","2026-07-19","passed","2026-07-19","TestCreateUser","test_create_user","",""
"","383","test_update_user_without_authorization_returns_error[email-unauthorized_user@yandex.ru]","tests","2026-07-19","passed","2026-07-19","TestUpdateUser","test_update_user","",""
"","490","test_create_user_without_required_field_returns_error[name]","tests","2026-07-19","passed","2026-07-19","TestCreateUser","test_create_user","",""
"","503","test_create_existing_user_returns_error","tests","2026-07-19","passed","2026-07-19","TestCreateUser","test_create_user","",""
"","567","test_login_existing_user","tests","2026-07-19","passed","2026-07-19","TestLoginUser","test_login_user","",""
"","374","test_create_order_without_ingredients_returns_error","tests","2026-07-19","passed","2026-07-19","TestCreateOrder","test_create_order","",""
"","514","test_update_user_with_authorization[email-updated_user@yandex.ru]","tests","2026-07-19","passed","2026-07-19","TestUpdateUser","test_update_user","",""
"","472","test_create_order_with_invalid_ingredient_hash_returns_error","tests","2026-07-19","passed","2026-07-19","TestCreateOrder","test_create_order","",""
"","507","test_create_user_without_required_field_returns_error[email]","tests","2026-07-19","passed","2026-07-19","TestCreateUser","test_create_user","",""
"","797","test_create_order_without_authorization_with_ingredients","tests","2026-07-19","passed","2026-07-19","TestCreateOrder","test_create_order","",""
"","612","test_login_with_incorrect_credentials_returns_error","tests","2026-07-19","passed","2026-07-19","TestLoginUser","test_login_user","",""
"","481","test_create_user_without_required_field_returns_error[password]","tests","2026-07-19","passed","2026-07-19","TestCreateUser","test_create_user","",""
"","603","test_update_user_with_authorization[password-new_password_123]","tests","2026-07-19","passed","2026-07-19","TestUpdateUser","test_update_user","",""
"","402","test_update_user_without_authorization_returns_error[password-unauthorized_password]","tests","2026-07-19","passed","2026-07-19","TestUpdateUser","test_update_user","",""
"","553","test_get_orders_unauthorized_user_returns_error","tests","2026-07-19","passed","2026-07-19","TestGetUserOrders","test_get_user_orders","",""
"","5544","test_get_orders_authorized_user","tests","2026-07-19","passed","2026-07-19","TestGetUserOrders","test_get_user_orders","",""
"","372","test_update_user_without_authorization_returns_error[name-Unauthorized User]","tests","2026-07-19","passed","2026-07-19","TestUpdateUser","test_update_user","",""
"","522","test_update_user_with_authorization[name-Updated User]","tests","2026-07-19","passed","2026-07-19","TestUpdateUser","test_update_user","",""
"","4298","test_create_order_with_authorization_and_ingredients","tests","2026-07-19","passed","2026-07-19","TestCreateOrder","test_create_order","",""
